entity_id,decision_count,unique_current_price_count,unique_applied_price_count,min_applied_price,max_applied_price,mean_applied_price,std_applied_price,applied_price_range,applied_price_cv,pct_changed
CAT000011,910,297,706,28.82,193.59,99.39239560439567,35.68116908479946,164.77,0.3589929477786069,0.848351648351648351648
CAT000012,1003,325,850,17.78,212.22,107.4578763708873,53.34019803977875,194.44,0.4963823950482403,0.849451645064805583250
CAT000013,639,268,491,20.23,159.17,82.81885758998449,35.15680907811308,138.94,0.4245024635834229,0.895148669796557120500
CAT000014,962,338,808,15.41,196.14,91.02176715176718,34.75630396552915,180.73,0.3818460688373304,0.846153846153846153846
CAT000015,629,281,551,21.04,196.60,93.30394276629566,43.654128496034815,175.56,0.4678701371214086,0.855325914149443561208
CAT000016,692,301,589,19.20,202.41,92.49078034682078,49.03828653342223,183.21,0.5301964839040072,0.842485549132947976878
CAT000017,860,261,693,17.95,199.00,81.25498837209308,34.76783413186739,181.05,0.4278855345182519,0.856976744186046511627
CAT000018,676,238,585,32.57,279.20,171.54995562130156,55.58572478478596,246.63,0.32402063051238594,0.853550295857988165680
CAT000019,969,202,705,35.94,245.62,145.72834881320958,33.6672007840629,209.68,0.23102712038010226,0.877192982456140350877
CAT000020,501,201,417,34.10,260.23,157.4829940119763,43.499452228940854,226.13,0.27621682265980285,0.854291417165668662674
CAT000021,860,334,711,38.50,255.58,127.63056976744168,57.451689272440944,217.08,0.45014050612737105,0.869767441860465116279
CAT000022,639,199,534,46.13,250.01,133.32308294209705,33.178786666802594,203.88,0.24886003184619068,0.851330203442879499217
CAT000023,471,211,419,38.95,266.90,142.28070063694258,42.495472421383816,227.95,0.2986734829892315,0.842887473460721868365
CAT000024,871,229,636,37.82,232.57,145.59051664753167,47.14273253272741,194.75,0.32380359393090086,0.864523536165327210103
CAT000025,345,164,319,31.37,438.31,200.3667826086956,76.48949579290769,406.94,0.38174738745137776,0.855072463768115942028
CAT000026,357,153,324,21.50,440.33,208.2362745098039,93.19696706174919,418.83,0.447553949383403,0.843137254901960784313
CAT000027,410,193,380,30.30,396.60,196.39692682926838,89.07726902272637,366.30,0.45355734664913033,0.836585365853658536585
CAT000028,387,188,361,36.41,339.93,180.87953488372094,65.2925736383699,303.52,0.3609726975489155,0.855297157622739018087
CAT000029,395,187,369,30.33,379.89,201.1082025316456,76.41686383073694,349.56,0.3799788515275119,0.855696202531645569620
CAT000030,503,192,425,33.59,438.16,222.41395626242564,83.89761203534388,404.57,0.37721379289864937,0.813121272365805168986
CAT000031,310,154,273,19.15,448.23,195.62080645161294,106.47780503030887,429.08,0.5443071571052249,0.874193548387096774193
CAT000032,298,155,267,19.37,296.01,126.73439597315436,55.63077082360567,276.64,0.43895558420769776,0.838926174496644295302
CAT000033,375,171,334,14.25,317.02,162.8406666666666,75.13372633851986,302.77,0.46139412148390385,0.837333333333333333333
CAT000034,515,200,440,14.15,283.27,128.30438834951462,71.80352180867607,269.12,0.5596341850216046,0.836893203883495145631
CAT000035,315,171,273,25.11,294.69,145.58860317460318,74.07384008746797,269.58,0.5087887270862256,0.847619047619047619047
CAT000036,333,175,305,16.25,287.69,159.02210210210205,61.13300890761044,271.44,0.3844308941933069,0.861861861861861861861
CAT000037,588,209,476,10.61,253.28,78.7658163265307,61.79756573975801,242.67,0.7845734180367115,0.891156462585034013605
CAT000038,526,216,412,11.83,279.54,131.5666539923954,86.74173896289336,267.71,0.6592988141805831,0.855513307984790874524
CAT000039,471,172,416,66.63,644.25,403.76953290870506,147.05550081008406,577.62,0.36420653076698156,0.834394904458598726114
CAT000040,431,212,408,19.15,633.47,266.9574013921114,129.2849797629301,614.32,0.4842906736758132,0.867749419953596287703
CAT000041,611,270,547,50.51,601.89,325.10108019639927,119.77098521274353,551.38,0.36841152647166775,0.837970540098199672667
CAT000042,479,214,424,62.17,729.26,317.7579958246346,157.8660338902133,667.09,0.49681215253301436,0.847599164926931106471
CAT000043,745,264,634,26.88,603.70,282.64714093959714,114.13636565323921,576.82,0.403812206533625,0.842953020134228187919
CAT000044,473,203,409,47.57,644.08,329.61336152219906,96.69770481031476,596.51,0.29336706607933516,0.832980972515856236786
CAT000045,721,330,644,59.78,682.82,312.3286962552012,129.74300362840376,623.04,0.4154053251718882,0.846047156726768377253
CAT000046,599,241,486,19.47,411.92,165.3710183639398,89.83632143679777,392.45,0.5432410244888904,0.849749582637729549248
CAT000047,653,147,479,34.82,398.11,206.8407044410413,50.29098792402233,363.29,0.2431387383828867,0.868300153139356814701
CAT000048,759,285,583,14.18,368.57,182.71285902503288,85.01294492687451,354.39,0.46528167410060156,0.877470355731225296442
CAT000049,552,205,494,22.39,397.58,200.3667028985507,99.7993065217032,375.19,0.4980832896782925,0.865942028985507246376
CAT000050,728,315,647,10.75,395.30,211.3272939560439,90.41896495241578,384.55,0.42786221911885614,0.846153846153846153846
CAT000051,502,233,454,10.74,357.01,185.74812749004002,78.58843921927574,346.27,0.423091421061511,0.860557768924302788844
