ProductID,decision_count,unique_current_price_count,unique_applied_price_count,min_applied_price,max_applied_price,mean_applied_price,std_applied_price,applied_price_range,applied_price_cv,pct_changed
PRO000001,263,20,154,61.71,90.60,73.10220532319397,7.075948974986164,28.89,0.0967952874157833,0.832699619771863117870
PRO000002,13,5,13,129.09,165.86,147.8223076923077,12.69270666816585,36.77,0.08586462264265102,0.769230769230769230769
PRO000003,7,3,6,33.27,39.59,35.51857142857143,2.3942043116063396,6.32,0.0674071116970775,0.428571428571428571428
PRO000004,3,3,3,112.44,124.88,117.42333333333333,6.578482601127419,12.44,0.05602364039907531,1.000000000000000000000
PRO000005,3,3,3,128.27,150.00,140.12333333333333,10.999028744999817,21.73,0.07849534037871268,1.000000000000000000000
PRO000006,7,5,7,129.52,160.59,136.54142857142858,10.853534644792724,31.07,0.07948894894647261,1.000000000000000000000
PRO000007,5,3,4,96.63,109.63,104.69800000000001,4.81426214491902,13.00,0.045982369719756055,0.800000000000000000000
PRO000008,8,3,7,63.75,77.88,73.325,5.92365717152123,14.13,0.08078632351205223,1.000000000000000000000
PRO000009,10,8,10,65.90,80.34,72.17100000000002,5.073643113625755,14.44,0.07030030224918254,0.900000000000000000000
PRO000010,10,5,9,75.63,103.40,83.441,8.615775518070285,27.77,0.10325589959456723,0.700000000000000000000
PRO000012,22,10,19,108.88,144.17,131.62545454545455,10.681548722768511,35.29,0.08115108707244635,0.772727272727272727272
PRO000013,20,11,18,79.21,109.33,91.26,7.527242453074494,30.12,0.08248128920747856,0.900000000000000000000
PRO000014,8,4,6,130.41,156.05,146.76375,10.55361947052196,25.64,0.07190889760258894,1.000000000000000000000
PRO000015,4,3,3,79.45,93.53,84.785,6.760303247636266,14.08,0.07973466117398438,1.000000000000000000000
PRO000016,10,5,9,66.95,74.09,69.36800000000001,2.409429623605929,7.14,0.034734021791113026,0.900000000000000000000
PRO000017,16,7,14,90.88,102.25,97.29687499999999,3.9583156666275974,11.37,0.04068286537083126,0.687500000000000000000
PRO000018,8,5,8,43.56,51.40,47.251250000000006,3.252521823798503,7.84,0.06883461969362721,0.875000000000000000000
PRO000019,20,8,20,56.98,74.82,66.3135,5.928580441609177,17.84,0.08940231538991572,0.900000000000000000000
PRO000021,21,10,19,114.13,158.64,131.98571428571427,12.227779672299091,44.51,0.09264472097206802,0.904761904761904761904
PRO000022,2,2,2,75.89,76.54,76.215,0.4596194077715725,0.65,0.006030563639330479,1.000000000000000000000
PRO000023,2,2,2,141.69,158.18,149.935,11.660190821766234,16.49,0.07776830507730839,1.000000000000000000000
PRO000024,3,3,3,106.86,118.46,112.96666666666665,5.824271055963751,11.60,0.05155743041573106,0.666666666666666666666
PRO000025,3,3,3,123.63,133.86,128.45000000000002,5.140457178111216,10.23,0.040019129452014135,0.333333333333333333333
PRO000026,7,2,6,80.83,90.69,85.41857142857144,3.6913341245469757,9.86,0.04321465534732966,0.714285714285714285714
PRO000027,40,14,39,116.84,148.62,130.78474999999997,10.138649327810343,31.78,0.07752164780534691,0.925000000000000000000
PRO000028,53,16,38,97.21,137.36,116.51113207547168,9.649362007682504,40.15,0.08281922796383094,0.849056603773584905660
PRO000029,16,6,12,52.49,63.45,57.801875,3.249119303749717,10.96,0.056211313279192356,0.875000000000000000000
PRO000030,2,2,2,28.82,30.30,29.560000000000002,1.0465180361560793,1.48,0.03540318119607846,1.000000000000000000000
PRO000031,3,3,3,109.76,152.16,127.96333333333332,21.826131891229256,42.40,0.17056551531346942,1.000000000000000000000
PRO000032,3,2,3,116.79,135.00,128.57,10.216060884705078,18.21,0.07945913420475288,1.000000000000000000000
PRO000033,3,2,3,171.06,176.69,174.53666666666666,3.0393475176969234,5.63,0.017413805223526615,1.000000000000000000000
PRO000034,26,10,20,56.04,75.43,64.44192307692309,4.403235191747606,19.39,0.06832873665938784,0.884615384615384615384
PRO000035,13,9,13,138.26,178.67,157.28769230769228,12.128989483771765,40.41,0.0771134047795969,0.846153846153846153846
