split,segment,value,support,row_count,purchase_count,non_purchase_count,purchase_rate,roc_auc,average_precision,log_loss,brier_score,precision_at_0_5,recall_at_0_5,f1_at_0_5,ece,top_decile_purchase_rate,top_decile_lift,top_decile_tie_policy
validation,Channel,Email,1127,1127,195,932,0.1730257320319432,0.6294128975459448,0.2684926389031581,0.4482422309597524,0.13938584465293263,0.0,0.0,0.0,0.009815532837420636,0.37168141592920356,2.1481279782164737,fractional inclusion at score cutoff
validation,Channel,Kiosk,702,702,113,589,0.16096866096866097,0.6261550250161515,0.24278324022430586,0.43079123114022044,0.13208564953698418,0.0,0.0,0.0,0.02150182454464548,0.2676056338028169,1.66247039760688,fractional inclusion at score cutoff
validation,Channel,Mobile,1978,1978,377,1601,0.19059656218402427,0.5707606485999301,0.2273510363172513,0.4829486206888533,0.15297691527543752,0.0,0.0,0.0,0.01037276817513906,0.24242424242424243,1.2719234788200307,fractional inclusion at score cutoff
validation,Channel,Online,162,162,27,135,0.16666666666666666,0.5272976680384087,0.1897916459932693,0.45396304400614307,0.1401800633071559,0.0,0.0,0.0,0.027224779646879135,0.11764705882352941,0.7058823529411765,fractional inclusion at score cutoff
validation,Channel,Store,453,453,79,374,0.17439293598233996,0.5982535707033102,0.24500167752253846,0.45578961211924435,0.14196796333773976,0.0,0.0,0.0,0.014827118901118156,0.2608695652173913,1.495872317006054,fractional inclusion at score cutoff
validation,Channel,Web,828,828,148,680,0.178743961352657,0.6085701510333863,0.24068319818548356,0.45919320579366657,0.1437482660422597,0.0,0.0,0.0,0.014044673026220672,0.26506024096385544,1.4829045913383265,fractional inclusion at score cutoff
validation,Season,All,2430,2430,456,1974,0.18765432098765433,0.5813842007501022,0.23483544413643184,0.4770444259476913,0.150661612366849,0.0,0.0,0.0,0.007402027746295302,0.25925925925925924,1.3815789473684208,fractional inclusion at score cutoff
validation,Season,Fall,576,576,117,459,0.203125,0.5825279779528145,0.2627032325756302,0.500963030371429,0.16047298909659377,0.0,0.0,0.0,0.03058176810708421,0.3448275862068966,1.6976127320954908,fractional inclusion at score cutoff
validation,Season,Spring,901,901,146,755,0.16204217536071033,0.6410686745894948,0.23967483896487604,0.43047321961521595,0.1323099634029512,0.0,0.0,0.0,0.019125832405452976,0.23076923076923078,1.4241306638566913,fractional inclusion at score cutoff
validation,Season,Summer,673,673,116,557,0.1723625557206538,0.584303225407045,0.2314565542546692,0.45413210202278276,0.1410517818887267,0.0,0.0,0.0,0.009876454173330364,0.27941176470588236,1.6210699797160244,fractional inclusion at score cutoff
validation,Season,Winter,670,670,104,566,0.15522388059701492,0.6394740418592009,0.24220891672369593,0.4206321731482403,0.12800783169571148,0.0,0.0,0.0,0.024472749066182516,0.29850746268656714,1.923076923076923,fractional inclusion at score cutoff
validation,RegionID,REG000001,308,308,53,255,0.17207792207792208,0.633148353681095,0.309675308266505,0.4454855579769771,0.13820330233082867,0.0,0.0,0.0,0.022067447728472175,0.3870967741935484,2.2495435179549603,fractional inclusion at score cutoff
validation,RegionID,REG000002,498,498,83,415,0.16666666666666666,0.6402670924662505,0.2622094855264643,0.43775673498808154,0.13517670396005813,0.0,0.0,0.0,0.014357482175297089,0.32,1.9200000000000002,fractional inclusion at score cutoff
validation,RegionID,REG000003,508,508,102,406,0.20078740157480315,0.610632183908046,0.2787265753984191,0.4906888882877093,0.1569849547896447,0.0,0.0,0.0,0.017322208413220117,0.35294117647058826,1.7577854671280277,fractional inclusion at score cutoff
validation,RegionID,REG000004,676,676,104,572,0.15384615384615385,0.5929010892953201,0.2097728664495312,0.4249311254252083,0.12908240883160996,0.0,0.0,0.0,0.02667586976705147,0.22058823529411764,1.4338235294117645,fractional inclusion at score cutoff
validation,RegionID,REG000005,662,662,123,539,0.18580060422960726,0.6339050032429824,0.2647749750580798,0.4649390455589288,0.146690200773585,0.0,0.0,0.0,0.025095902378489795,0.26865671641791045,1.4459410265744448,fractional inclusion at score cutoff
validation,RegionID,REG000006,610,610,101,509,0.16557377049180327,0.5643661615670408,0.2000971711144436,0.44723823697969706,0.13789807792256684,0.0,0.0,0.0,0.016251625333169192,0.21311475409836064,1.2871287128712872,fractional inclusion at score cutoff
validation,RegionID,REG000007,677,677,133,544,0.1964549483013294,0.602547268907563,0.2549940203232643,0.48775395170595115,0.15554132450170155,0.0,0.0,0.0,0.02138096470588769,0.2647058823529412,1.3474126492702345,fractional inclusion at score cutoff
validation,RegionID,REG000008,443,443,66,377,0.1489841986455982,0.5396672293224017,0.20160267549024127,0.42460234312256706,0.128049262823607,0.0,0.0,0.0,0.02982143766238033,0.2222222222222222,1.4915824915824916,fractional inclusion at score cutoff
validation,RegionID,REG000009,484,484,84,400,0.17355371900826447,0.5924107142857142,0.2339581779684362,0.4549200392963941,0.1415476943692735,0.0,0.0,0.0,0.0047196887368705955,0.32653061224489793,1.8814382896015547,fractional inclusion at score cutoff
validation,RegionID,REG000010,384,384,90,294,0.234375,0.5592592592592592,0.26322274553172276,0.5527425914763512,0.1817414778983086,0.0,0.0,0.0,0.06030283448474281,0.23076923076923078,0.9846153846153847,fractional inclusion at score cutoff
validation,CategoryID,CAT000011,110,110,18,92,0.16363636363636364,0.5422705314009661,0.2073085934605589,0.4466893384884165,0.1373436482987799,0.0,0.0,0.0,0.014175035827605756,0.18181818181818182,1.1111111111111112,fractional inclusion at score cutoff
validation,CategoryID,CAT000012,131,131,23,108,0.17557251908396945,0.5597826086956521,0.19558062959587602,0.46597572814886756,0.1455914458530434,0.0,0.0,0.0,0.02374276886847658,0.14285714285714285,0.8136645962732919,fractional inclusion at score cutoff
validation,CategoryID,CAT000014,157,157,17,140,0.10828025477707007,0.4991596638655462,0.11001645088728795,0.3659742240278462,0.10358281012665811,0.0,0.0,0.0,0.06777758613931634,0.0,0.0,fractional inclusion at score cutoff
validation,CategoryID,CAT000016,114,114,17,97,0.14912280701754385,0.6522134627046694,0.22058095941585282,0.41562487188847147,0.1258576836317231,0.0,0.0,0.0,0.03206188607156907,0.16666666666666666,1.1176470588235294,fractional inclusion at score cutoff
validation,CategoryID,CAT000017,121,121,20,101,0.1652892561983471,0.626980198019802,0.2843021079342791,0.4370432745349622,0.13468711750324056,0.0,0.0,0.0,0.018096541745955264,0.23076923076923078,1.3961538461538463,fractional inclusion at score cutoff
validation,CategoryID,CAT000018,108,108,11,97,0.10185185185185185,0.5679475164011247,0.21807018905680908,0.3455087221036395,0.09587382043670926,0.0,0.0,0.0,0.07038838668826869,0.2727272727272727,2.677685950413223,fractional inclusion at score cutoff
validation,CategoryID,CAT000019,150,150,26,124,0.17333333333333334,0.5786290322580645,0.256629236179849,0.4570076543420017,0.14216227224557518,0.0,0.0,0.0,0.011577836736623003,0.2,1.153846153846154,fractional inclusion at score cutoff
validation,CategoryID,CAT000021,131,131,28,103,0.21374045801526717,0.5495839112343966,0.2866293367301414,0.5190048337622,0.16732933547979456,0.0,0.0,0.0,0.035742536816993166,0.35714285714285715,1.6709183673469388,fractional inclusion at score cutoff
validation,CategoryID,CAT000022,108,108,21,87,0.19444444444444445,0.47619047619047616,0.18664107736075497,0.5070236996061682,0.16119795544122026,0.0,0.0,0.0,0.07597266152014501,0.09090909090909091,0.4675324675324675,fractional inclusion at score cutoff
validation,CategoryID,CAT000024,126,126,18,108,0.14285714285714285,0.638888888888889,0.3516559656339098,0.39788127745635304,0.11868522068550723,0.0,0.0,0.0,0.032414882044895385,0.38461538461538464,2.6923076923076925,fractional inclusion at score cutoff
validation,CategoryID,CAT000041,104,104,18,86,0.17307692307692307,0.4741602067183462,0.16769694324681914,0.4762766332033173,0.14866878089637886,0.0,0.0,0.0,0.0628853254857119,0.09090909090909091,0.5252525252525253,fractional inclusion at score cutoff
validation,CategoryID,CAT000043,104,104,21,83,0.20192307692307693,0.5823293172690762,0.25563369671950914,0.5029943354054985,0.16134926675586442,0.0,0.0,0.0,0.046369629820372286,0.18181818181818182,0.9004329004329005,fractional inclusion at score cutoff
validation,CategoryID,CAT000045,104,104,19,85,0.18269230769230768,0.6027863777089784,0.27296008143358086,0.4647815521868094,0.1464364057897201,0.0,0.0,0.0,0.008950454858251185,0.2727272727272727,1.492822966507177,fractional inclusion at score cutoff
validation,CategoryID,CAT000048,118,118,22,96,0.1864406779661017,0.6283143939393939,0.3292198512298161,0.46805983136054297,0.14766826257951202,0.0,0.0,0.0,0.009493862499832972,0.4166666666666667,2.234848484848485,fractional inclusion at score cutoff
validation,CategoryID,CAT000050,104,104,12,92,0.11538461538461539,0.6132246376811594,0.20928332522826204,0.36602165682956167,0.1045556358760045,0.0,0.0,0.0,0.06781347814579851,0.18181818181818182,1.5757575757575757,fractional inclusion at score cutoff
validation,CategoryID,CAT000052,124,124,16,108,0.12903225806451613,0.611111111111111,0.16563795176657176,0.39071594574715013,0.11482379795071053,0.0,0.0,0.0,0.05670005771562131,0.07692307692307693,0.5961538461538463,fractional inclusion at score cutoff
validation,CategoryID,CAT000057,110,110,23,87,0.20909090909090908,0.5397301349325337,0.2716499315670951,0.513166040376992,0.1651011064150494,0.0,0.0,0.0,0.025964798641883197,0.36363636363636365,1.7391304347826089,fractional inclusion at score cutoff
validation,CategoryID,CAT000064,112,112,21,91,0.1875,0.6344845630559917,0.2841845500882505,0.469032133175722,0.1481065708798203,0.0,0.0,0.0,0.03606986153250728,0.4166666666666667,2.2222222222222223,fractional inclusion at score cutoff
validation,CategoryID,CAT000065,155,155,25,130,0.16129032258064516,0.6101538461538462,0.24917320728346196,0.4329174287840423,0.13258940073499295,0.0,0.0,0.0,0.026496265304713714,0.25,1.55,fractional inclusion at score cutoff
validation,StoreType,Outlet,694,694,108,586,0.15561959654178675,0.6439056377196308,0.24242671374883196,0.4205514528178887,0.12805699059562595,0.0,0.0,0.0,0.026828566694070726,0.3,1.9277777777777776,fractional inclusion at score cutoff
validation,StoreType,Suburban,2304,2304,427,1877,0.1853298611111111,0.590686094083563,0.23946179455806754,0.4721885765973793,0.14881272937082474,0.0,0.0,0.0,0.008378124430149158,0.2554112554112554,1.3781441041394205,fractional inclusion at score cutoff
validation,StoreType,Urban,2252,2252,404,1848,0.17939609236234458,0.5910336569371224,0.23232509431724296,0.4632763336389076,0.14507480164326608,0.0,0.0,0.0,0.0025802321313611477,0.26991150442477874,1.5045562078331727,fractional inclusion at score cutoff
