PricingDecisionID,DecisionTime,ProductID,StoreID,Channel,CurrentPrice,AppliedPrice,PurchasedFlag,QuantityPurchased,CategoryID,BrandID,BasePrice,Season,RegionID,StoreType,ClimateZone,LoyaltyTier,CustomerSegment,PreferredChannel,FavoriteCategoryID,FavoriteBrandID,PriceSensitivity,CategoryAffinityScore,BrandAffinityScore,active_history_selling_price,history_discount_pct,days_since_current_price_started,previous_selling_price,previous_price_change_pct,active_price_history_id,price_history_current_price_delta,price_history_current_price_mismatch,active_history_promotion_id,active_promotion_flag,active_promotion_discount_pct,product_store_sales_7d,product_store_sales_14d,product_store_sales_30d,product_region_sales_7d,product_region_sales_14d,product_region_sales_30d,product_sales_7d,product_sales_14d,product_sales_30d,product_sales_60d,product_sales_90d,category_store_sales_7d,category_store_sales_14d,category_store_sales_30d,category_sales_7d,category_sales_14d,category_sales_30d,product_sales_velocity_7d,product_sales_velocity_30d,product_sales_velocity_90d,product_sales_velocity_ratio_7d_30d,days_since_last_product_sale,competitor_price_exact_channel,competitor_price_region_fallback,competitor_price_product_fallback,competitor_price_available,competitor_price_age_days,competitor_match_level,competitor_price,product_views_1h,product_views_24h,product_views_168h,product_views_720h,cart_additions_1h,cart_additions_24h,cart_additions_168h,cart_additions_720h,search_clicks_1h,search_clicks_24h,search_clicks_168h,search_clicks_720h,decision_month,decision_quarter,decision_day_of_week,decision_is_weekend,weather_temperature,weather_condition,weather_precipitation,is_holiday,holiday_sales_impact_factor,holiday_count,price_change_amount,price_change_pct,price_vs_base_pct,discount_from_base_pct,price_vs_competitor_pct,current_vs_base_pct
PDL000000000016978,2025-01-01 08:12:26,PRO001439,STO000043,Mobile,82.24,79.86,1,1,CAT000039,BRA000088,81.06,All,REG000009,Urban,Cold Continental,Silver,Premium Professional,Mobile,CAT000039,BRA000038,High,0.58094,0.65493,82.24,0.0,0.3419675925925926,,,PPH000000000024064,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,32,Partly Cloudy,0.0,1,1.15,1,-2.3799999999999955,-0.028939688715953253,-0.014803849000740226,0.014803849000740226,,0.014557118184061097
PDL000000000018863,2025-01-01 08:37:28,PRO002885,STO000038,Web,26.81,29.67,0,0,CAT000076,BRA000071,26.44,Fall,REG000007,Suburban,Continental,Silver,Seasonal Gift Shopper,Mobile,CAT000042,BRA000071,Low,0.58413,0.73805,26.81,0.0,0.35935185185185187,,,PPH000000000047898,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,2,0,26,Cloudy,0.0,1,1.15,1,2.860000000000003,0.10667661320402846,0.12216338880484116,-0.12216338880484116,,0.013993948562783564
PDL000000000007093,2025-01-01 09:02:17,PRO002885,STO000038,Web,26.81,27.13,0,0,CAT000076,BRA000071,26.44,Fall,REG000007,Suburban,Continental,Silver,Seasonal Gift Shopper,Mobile,CAT000042,BRA000071,Low,0.58413,0.73805,26.81,0.0,0.37658564814814816,,,PPH000000000047898,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,2,0,26,Cloudy,0.0,1,1.15,1,0.3200000000000003,0.011935844834017169,0.026096822995461334,-0.026096822995461334,,0.013993948562783564
PDL000000000023897,2025-01-01 09:18:33,PRO001391,STO000043,Store,102.96,106.18,0,0,CAT000038,BRA000126,103.18,Spring,REG000009,Urban,Cold Continental,Bronze,Technology Early Adopter,Omnichannel,CAT000037,BRA000126,Medium,0.88654,0.51191,102.96,0.21,0.38788194444444446,,,PPH000000000023110,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,32,Partly Cloudy,0.0,1,1.15,1,3.220000000000013,0.031274281274281404,0.029075402209730566,-0.029075402209730566,,-0.002132196162047035
PDL000000000022685,2025-01-01 09:30:28,PRO002515,STO000043,Web,16.88,18.3,0,0,CAT000063,BRA000119,16.95,All,REG000009,Urban,Cold Continental,Silver,Technology Early Adopter,Web,CAT000079,BRA000064,Low,0.72939,0.87493,16.88,0.41,0.3961574074074074,,,PPH000000000041993,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,32,Partly Cloudy,0.0,1,1.15,1,1.4200000000000017,0.08412322274881527,0.07964601769911513,-0.07964601769911513,,-0.004129793510324501
PDL000000000013688,2025-01-01 09:32:33,PRO000172,STO000048,Mobile,135.97,148.04,0,0,CAT000013,BRA000064,136.27,Fall,REG000010,Suburban,Humid Subtropical,Silver,Technology Early Adopter,Web,CAT000079,BRA000064,Low,0.72939,0.87493,135.97,0.22,0.39760416666666665,,,PPH000000000002895,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,2,0,47,Windy,0.0,1,1.15,1,12.069999999999993,0.08876958152533643,0.08637264254788274,-0.08637264254788274,,-0.00220151170470398
PDL000000000010715,2025-01-01 09:36:22,PRO001849,STO000041,Web,203.72,221.5,0,0,CAT000047,BRA000114,201.28,Spring,REG000008,Outlet,Hot Arid,Bronze,Premium Professional,Web,CAT000078,BRA000055,Low,0.65433,0.84433,203.72,0.0,0.40025462962962965,,,PPH000000000030791,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,2,0,61,Partly Cloudy,0.0,1,1.15,1,17.78,0.08727665423129786,0.1004570747217806,-0.1004570747217806,,0.01212241653418123
PDL000000000005323,2025-01-01 09:41:23,PRO002939,STO000046,Web,79.58,83.05,0,0,CAT000078,BRA000071,81.04,Fall,REG000009,Suburban,Cold Continental,Bronze,Premium Professional,Web,CAT000078,BRA000055,Low,0.65433,0.84433,79.58,1.8,0.4037384259259259,,,PPH000000000048854,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,32,Partly Cloudy,0.0,1,1.15,1,3.469999999999999,0.043603920583061055,0.024802566633760993,-0.024802566633760993,,-0.018015794669299208
PDL000000000001606,2025-01-01 10:22:10,PRO002921,STO000024,Mobile,161.14,159.04,0,0,CAT000078,BRA000008,163.0,Winter,REG000005,Outlet,Hot Subtropical,Bronze,Premium Professional,Mobile,CAT000078,BRA000008,Medium,0.74268,0.58123,161.14,1.14,0.4320601851851852,,,PPH000000000048534,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,50,Windy,0.0,1,1.15,1,-2.0999999999999943,-0.013032145960034719,-0.02429447852760741,0.02429447852760741,,-0.011411042944785359
PDL000000000020531,2025-01-01 10:27:47,PRO000074,STO000034,Store,124.26,111.91,0,0,CAT000012,BRA000033,120.47,Summer,REG000007,Suburban,Continental,Platinum,Premium Professional,Web,CAT000017,BRA000033,Medium,0.93994,0.57517,124.26,0.0,0.43596064814814817,,,PPH000000000001175,0.0,False,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,NONE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,2,0,26,Cloudy,0.0,1,1.15,1,-12.350000000000009,-0.09938837920489303,-0.07105503444841041,0.07105503444841041,,0.03146011455134064
